TOKEN;POS;LEMMA
peut;VER:pres;pouvoir
offrir;VER:infi;offrir
:;PUN;:
celles;PRO:DEM;celui
-là;ADV;là
sont;VER:pres;être
les;DET:ART;le
meilleures;ADJ;meilleur
";";PUN;";"
attendons;VER:pres;attendre
une;DET:ART;un
occasion;NOM;occasion
,;PUN;,
croyez;VER:pres;croire
-moi;PRO:PER;moi
,;PUN;,
et;KON;et
si;KON;si
cette;PRO:DEM;ce
occasion;NOM;occasion
se;PRO:PER;se
présente;VER:pres;présenter
,;PUN;,
profitons;VER:pres;profiter
-en;PRO:PER;en
.;SENT;.
-;PUN;-
-Vous;ADJ;-Vous
avez;VER:pres;avoir
pu;VER:pper;pouvoir
attendre;VER:infi;attendre
,;PUN;,
vous;PRO:PER;vous
,;PUN;,
dit;VER:pres;dire
Dantès;NAM;Dantès
en;PRP;en
soupirant;NOM;soupirant
";";PUN;";"
ce;PRO:DEM;ce
long;ADJ;long
travail;NOM;travail
vous;PRO:PER;vous
faisait;VER:impf;faire
une;DET:ART;un
occupation;NOM;occupation
de;PRP;de
tous;PRO:IND;tout
les;DET:ART;le
instants;NOM;instant
,;PUN;,
et;KON;et
quand;KON;quand
vous;PRO:PER;vous
n';ADV;ne
aviez;VER:impf;avoir
pas;ADV;pas
votre;DET:POS;votre
travail;NOM;travail
pour;PRP;pour
vous;PRO:PER;vous
distraire;VER:infi;distraire
,;PUN;,
vous;PRO:PER;vous
aviez;VER:impf;avoir
vos;DET:POS;votre
espérances;NOM;espérance
pour;PRP;pour
vous;PRO:PER;vous
consoler;VER:infi;consoler
.;SENT;.
--Puis;ADJ;--Puis
,;PUN;,
dit;VER:pres;dire
l';DET:ART;le
abbé;NOM;abbé
,;PUN;,
je;PRO:PER;je
ne;ADV;ne
m';PRO:PER;me
occupais;VER:impf;occuper
point;ADV;point
qu';KON;que
à;PRP;à
cela;PRO:DEM;cela
.;SENT;.
--Que;ADJ;--Que
faisiez;VER:impf;faire
-vous;PRO:PER;vous
donc;ADV;donc
?;SENT;?
--J'écrivais;VER:impf;--J'écrivais
;;
ou;KON;ou
j';PRO:PER;je
étudiais;VER:impf;étudier
.;SENT;.
-;PUN;-
-On;ADJ;-On
vous;PRO:PER;vous
donne;VER:pres;donner
donc;ADV;donc
du;PRP:det;du
papier;NOM;papier
,;PUN;,
des;PRP:det;du
plumes;NOM;plume
,;PUN;,
de;PRP;de
l';DET:ART;le
encre;NOM;encre
?;SENT;?
--Non;ADJ;--Non
,;PUN;,
dit;VER:pres;dire
l';DET:ART;le
abbé;NOM;abbé
,;PUN;,
mais;KON;mais
je;PRO:PER;je
m';PRO:PER;me
en;PRO:PER;en
fais;VER:pres;faire
.;SENT;.
-;PUN;-
--Vous;ADJ;--Vous
vous;PRO:PER;vous
faites;VER:pres;faire
du;PRP:det;du
papier;NOM;papier
,;PUN;,
des;PRP:det;du
plumes;NOM;plume
et;KON;et
de;PRP;de
l';DET:ART;le
encre;NOM;encre
?;SENT;?
s';PRO:PER;se
écria;VER:simp;écrier
Dantès;NAM;Dantès
.;SENT;.
--Oui;ADJ;--Oui
.;SENT;.
»;PUN:cit;»
Dantès;NAM;Dantès
regarda;VER:simp;regarder
cet;PRO:DEM;ce
homme;NOM;homme
avec;PRP;avec
admiration;NOM;admiration
";";PUN;";"
seulement;ADV;seulement
,;PUN;,
il;PRO:PER;il
avait;VER:impf;avoir
encore;ADV;encore
peine;NOM;peine
à;PRP;à
croire;VER:infi;croire
ce;PRO:DEM;ce
qu';PRO:REL;que
il;PRO:PER;il
disait;VER:impf;dire
.;SENT;.
Faria;NAM;Faria
s';PRO:PER;se
aperçut;VER:simp;apercevoir
de;PRP;de
ce;PRO:DEM;ce
léger;ADJ;léger
doute;NOM;doute
.;SENT;.
«;PUN:cit;«
Quand;KON;quand
vous;PRO:PER;vous
viendrez;VER:futu;venir
chez;PRP;chez
moi;PRO:PER;moi
,;PUN;,
lui;PRO:PER;lui
dit-il;NOM;dit-il
;;
,;PUN;,
je;PRO:PER;je
vous;PRO:PER;vous
montrerai;VER:futu;montrer
un;DET:ART;un
ouvrage;NOM;ouvrage
entier;ADJ;entier
,;PUN;,
résultat;NOM;résultat
des;PRP:det;du
pensées;NOM;pensée
,;PUN;,
des;PRP:det;du
recherches;NOM;recherche
et;KON;et
des;PRP:det;du
réflexions;NOM;réflexion
de;PRP;de
toute;PRO:IND;tout
ma;DET:POS;mon
vie;NOM;vie
,;PUN;,
que;PRO:REL;que
j';PRO:PER;je
avais;VER:impf;avoir
médité;VER:pper;méditer
à;PRP;à
l';DET:ART;le
ombre;NOM;ombre
du;PRP:det;du
Colisée;NAM;Colisée
à;PRP;à
Rome;NAM;Rome
,;PUN;,
au;PRP:det;au
pied;NOM;pied
de;PRP;de
la;DET:ART;le
colonne;NOM;colonne
Saint-Marc;NAM;Saint-Marc
à;PRP;à
Venise;NAM;Venise
,;PUN;,
sur;PRP;sur
les;DET:ART;le
bords;NOM;bord
de;PRP;de
l';DET:ART;le
Arno;NAM;Arno
à;PRP;à
Florence;NAM;Florence
,;PUN;,
et;KON;et
que;KON;que
je;PRO:PER;je
ne;ADV;ne
me;PRO:PER;me
doutais;VER:impf;douter
guère;ADV;guère
qu';KON;que
un;DET:ART;un
jour;NOM;jour
mes;DET:POS;mon
geôliers;NOM;geôlier
me;PRO:PER;me
laisseraient;VER:cond;laisser
le;DET:ART;le
loisir;NOM;loisir
d';PRP;de
exécuter;VER:infi;exécuter
entre;PRP;entre
les;DET:ART;le
quatre;NUM;quatre
murs;NOM;mur
du;PRP:det;du
château;NOM;château
d';PRP;de
If;NAM;If
.;SENT;.
C';PRO:DEM;ce
est;VER:pres;être
un;DET:ART;un
_Traité;NOM;_Traité
sur;PRP;sur
la;DET:ART;le
possibilité;NOM;possibilité
d';PRP;de
une;DET:ART;un
monarchie;NOM;monarchie
générale;ADJ;général
en;PRP;en
Italie_;NOM;Italie_
.;SENT;.
Ce;PRO:DEM;ce
fera;VER:futu;faire
un;DET:ART;un
grand;ADJ;grand
volume;NOM;volume
in-quarto;ADJ;in-quarto
.;SENT;.
--Et;ADJ;--Et
vous;PRO:PER;vous
l';PRO:PER;la|le
avez;VER:pres;avoir
écrit;VER:pper;écrire
?;SENT;?
--Sur;NOM;--Sur
deux;NUM;deux
chemises;NOM;chemise
.;SENT;.
J';PRO:PER;je
ai;VER:pres;avoir
inventé;VER:pper;inventer
une;DET:ART;un
préparation;NOM;préparation
qui;PRO:REL;qui
rend;VER:pres;rendre
le;DET:ART;le
linge;NOM;linge
lisse;ADJ;lisse
et;KON;et
uni;ADJ;uni
comme;KON;comme
le;DET:ART;le
parchemin;NOM;parchemin
.;SENT;.
-;PUN;-
-Vous;ADJ;-Vous
êtes;VER:pres;être
donc;ADV;donc
chimiste;NOM;chimiste
.;SENT;.
--Un;NOM;--Un
peu;ADV;peu
.;SENT;.
J';PRO:PER;je
ai;VER:pres;avoir
connu;VER:pper;connaître
Lavoisier;NAM;Lavoisier
et;KON;et
je;PRO:PER;je
suis;VER:pres;suivre|être
lié;VER:pper;lier
avec;PRP;avec
Cabanis;NAM;Cabanis
.;SENT;.
--Mais;ADJ;--Mais
,;PUN;,
pour;PRP;pour
un;DET:ART;un
pareil;ADJ;pareil
ouvrage;NOM;ouvrage
,;PUN;,
il;PRO:PER;il
vous;PRO:PER;vous
a;VER:pres;avoir
fallu;VER:pper;falloir
faire;VER:infi;faire
des;PRP:det;du
recherches;NOM;recherche
historiques;ADJ;historique
.;SENT;.
Vous;PRO:PER;vous
aviez;VER:impf;avoir
donc;ADV;donc
des;PRP:det;du
livres;NOM;livre
?;SENT;?
--À;ABR;--À
Rome;NAM;Rome
,;PUN;,
j';PRO:PER;je
avais;VER:impf;avoir
à;PRP;à
peu;ADV;peu
près;ADV;près
cinq;NUM;cinq
mille;NUM;mille
volumes;NOM;volume
dans;PRP;dans
ma;DET:POS;mon
bibliothèque;NOM;bibliothèque
.;SENT;.
À;PRP;à
force;NOM;force
de;PRP;de
les;DET:ART;le
lire;NOM;lire
et;KON;et
de;PRP;de
les;PRO:PER;la|le
relire;VER:infi;relire
,;PUN;,
j';PRO:PER;je
ai;VER:pres;avoir
découvert;VER:pper;découvrir
qu';KON;que
avec;PRP;avec
cent;NUM;cent
cinquante;ADJ;cinquante
ouvrages;NOM;ouvrage
bien;ADV;bien
choisis;VER:pper;choisir
on;PRO:PER;on
a;VER:pres;avoir
,;PUN;,
sinon;KON;sinon
le;DET:ART;le
résumé;NOM;résumé
complet;ADJ;complet
des;PRP:det;du
connaissances;NOM;connaissance
humaines;ADJ;humain
,;PUN;,
du;PRP:det;du
moins;ADV;moins
tout;PRO:IND;tout
ce;PRO:DEM;ce
qu';PRO:REL;que
il;PRO:PER;il
est;VER:pres;être
utile;ADJ;utile
à;PRP;à
un;DET:ART;un
homme;NOM;homme
de;PRP;de
savoir;VER:infi;savoir
.;SENT;.
J';PRO:PER;je
ai;VER:pres;avoir
consacré;VER:pper;consacrer
trois;NUM;trois
années;NOM;année
de;PRP;de
ma;DET:POS;mon
vie;NOM;vie
à;PRP;à
lire;VER:infi;lire
et;KON;et
à;PRP;à
relire;VER:infi;relire
ces;PRO:DEM;ce
cent;NUM;cent
cinquante;ADJ;cinquante
volumes;NOM;volume
,;PUN;,
de;PRP;de
sorte;NOM;sorte
que;PRO:REL;que
je;PRO:PER;je
les;PRO:PER;la|le
savais;VER:impf;savoir
à;PRP;à
peu;ADV;peu
près;ADV;près
par;PRP;par
coeur;NOM;cur
lorsque;KON;lorsque
j';PRO:PER;je
ai;VER:pres;avoir
été;VER:pper;être
arrêté;VER:pper;arrêter
.;SENT;.
Dans;PRP;dans
ma;DET:POS;mon
prison;NOM;prison
,;PUN;,
avec;PRP;avec
un;DET:ART;un
léger;ADJ;léger
effort;NOM;effort
de;PRP;de
mémoire;NOM;mémoire
,;PUN;,
je;PRO:PER;je
me;PRO:PER;me
les;PRO:PER;la|le
suis;VER:pres;suivre|être
rappelés;VER:pper;rappeler
tout;ADV;tout
à;PRP;à
fait;NOM;fait
.;SENT;.
Ainsi;ADV;ainsi
pourrais;VER:cond;pouvoir
-je;PRO:PER;je
vous;PRO:PER;vous
réciter;VER:infi;réciter
Thucydide;NAM;Thucydide
,;PUN;,
Xénophon;NAM;Xénophon
,;PUN;,
Plutarque;NAM;Plutarque
,;PUN;,
Tite-Live;NAM;Tite-Live
,;PUN;,
Tacite;NAM;Tacite
,;PUN;,
Strada;NAM;Strada
,;PUN;,
Jornandès;NAM;Jornandès
,;PUN;,
Dante;NAM;Dante
,;PUN;,
Montaigne;NAM;Montaigne
,;PUN;,
Shakespeare;NAM;Shakespeare
,;PUN;,
Spinosa;NAM;Spinosa
,;PUN;,
Machiavel;NAM;Machiavel
et;KON;et
Bossuet;NAM;Bossuet
.;SENT;.
Je;PRO:PER;je
ne;ADV;ne
vous;PRO:PER;vous
cite;VER:pres;citer
que;KON;que
les;DET:ART;le
plus;ADV;plus
importants;ADJ;important
.;SENT;.
--Mais;VER:impf;--Mais
vous;PRO:PER;vous
savez;VER:pres;savoir
donc;ADV;donc
plusieurs;PRO:IND;plusieurs
langues;NOM;langue
?;SENT;?
-;PUN;-
-Je;ADJ;-Je
parle;VER:pres;parler
cinq;NUM;cinq
langues;NOM;langue
vivantes;ADJ;vivant
,;PUN;,
l';DET:ART;le
allemand;NOM;allemand
,;PUN;,
le;DET:ART;le
français;ADJ;français
,;PUN;,
l';DET:ART;le
italien;ADJ;italien
,;PUN;,
l';DET:ART;le
anglais;ADJ;anglais
et;KON;et
l';DET:ART;le
espagnol;ADJ;espagnol
";";PUN;";"
à;PRP;à
l';DET:ART;le
aide;NOM;aide
du;PRP:det;du
grec;NOM;grec
ancien;ADJ;ancien
je;PRO:PER;je
comprends;VER:pres;comprendre
le;DET:ART;le
grec;NOM;grec
moderne;ADJ;moderne
";";PUN;";"
seulement;ADV;seulement
je;PRO:PER;je
le;PRO:PER;le
parle;VER:pres;parler
mal;ADV;mal
,;PUN;,
mais;KON;mais
je;PRO:PER;je
l';PRO:PER;la|le
étudie;VER:pres;étudier
en;PRP;en
ce;PRO:DEM;ce
moment;NOM;moment
.;SENT;.
-;PUN;-
-Vous;ADJ;-Vous
l';PRO:PER;la|le
étudiez;VER:pres;étudier
?;SENT;?
dit;VER:pres;dire
Dantès;NAM;Dantès
.;SENT;.
--Oui;ADJ;--Oui
,;PUN;,
je;PRO:PER;je
me;PRO:PER;me
suis;VER:pres;suivre|être
fait;VER:pper;faire
un;DET:ART;un
vocabulaire;NOM;vocabulaire
des;PRP:det;du
mots;NOM;mot
que;PRO:REL;que
je;PRO:PER;je
sais;VER:pres;savoir
,;PUN;,
je;PRO:PER;je
les;PRO:PER;la|le
ai;VER:pres;avoir
arrangés;VER:pper;arranger
,;PUN;,
combinés;VER:pper;combiner
,;PUN;,
tournés;VER:pper;tourner
et;KON;et
retournés;VER:pper;retourner
,;PUN;,
de;PRP;de
façon;NOM;façon
qu';PRO:REL;que
ils;PRO:PER;il
puissent;VER:subp;pouvoir
me;PRO:PER;me
suffire;VER:infi;suffire
pour;PRP;pour
exprimer;VER:infi;exprimer
ma;DET:POS;mon
pensée;NOM;pensée
.;SENT;.
Je;PRO:PER;je
sais;VER:pres;savoir
à;PRP;à
peu;ADV;peu
près;ADV;près
mille;NUM;mille
mots;NOM;mot
,;PUN;,
c';PRO:DEM;ce
est;VER:pres;être
tout;ADV;tout
ce;PRO:DEM;ce
qu';PRO:REL;que
il;PRO:PER;il
me;PRO:PER;me
faut;VER:pres;falloir
à;PRP;à
la;DET:ART;le
rigueur;NOM;rigueur
,;PUN;,
quoiqu'il;ADJ;quoiqu'il
;;
y;PRO:PER;y
en;PRO:PER;en
ait;VER:subp;avoir
cent;NUM;cent
mille;NUM;mille
,;PUN;,
je;PRO:PER;je
crois;VER:pres;croire
,;PUN;,
dans;PRP;dans
les;DET:ART;le
dictionnaires;NOM;dictionnaire
.;SENT;.
Seulement;ADV;seulement
,;PUN;,
je;PRO:PER;je
ne;ADV;ne
serai;VER:futu;être
pas;ADV;pas
éloquent;ADJ;éloquent
,;PUN;,
mais;KON;mais
je;PRO:PER;je
me;PRO:PER;me
ferai;VER:futu;faire
comprendre;VER:infi;comprendre
à;PRP;à
merveille;NOM;merveille
et;KON;et
cela;PRO:DEM;cela
me;PRO:PER;me
suffit;VER:pres;suffire
.;SENT;.
»;PUN:cit;»
De;PRP;de
plus;ADV;plus
en;PRP;en
plus;ADV;plus
émerveillé;VER:pper;émerveiller
,;PUN;,
Edmond;NAM;Edmond
commençait;VER:impf;commencer
à;PRP;à
trouver;VER:infi;trouver
presque;ADV;presque
surnaturelles;ADJ;surnaturel
les;DET:ART;le
facultés;NOM;faculté
de;PRP;de
cet;PRO:DEM;ce
homme;NOM;homme
étrange;ADJ;étrange
";";PUN;";"
il;PRO:PER;il
voulut;VER:simp;vouloir
le;PRO:PER;le
trouver;VER:infi;trouver
en;PRP;en
défaut;NOM;défaut
sur;PRP;sur
un;DET:ART;un
point;NOM;point
quelconque;ADJ;quelconque
,;PUN;,
il;PRO:PER;il
continua;VER:simp;continuer
:;PUN;:
«;PUN:cit;«
Mais;KON;mais
si;KON;si
l';PRO:PER;la|le
on;PRO:PER;on
ne;ADV;ne
vous;PRO:PER;vous
a;VER:pres;avoir
pas;ADV;pas
donné;VER:pper;donner
de;PRP;de
plumes;NOM;plume
,;PUN;,
dit-il;NOM;dit-il
;;
avec;PRP;avec
quoi;PRO:REL;quoi
avez;VER:pres;avoir
-vous;PRO:PER;vous
pu;VER:pper;pouvoir
écrire;VER:infi;écrire
ce;PRO:DEM;ce
traité;NOM;traité
si;ADV;si
volumineux;ADJ;volumineux
?;SENT;?
-;PUN;-
-Je;ADJ;-Je
m';PRO:PER;me
en;PRO:PER;en
suis;VER:pres;suivre|être
fait;VER:pper;faire
d';PRP;de
excellentes;ADJ;excellent
,;PUN;,
et;KON;et
que;KON;que
l';PRO:PER;la|le
on;PRO:PER;on
préférerait;VER:cond;préférer
aux;PRP:det;au
plumes;NOM;plume
ordinaires;ADJ;ordinaire
si;KON;si
la;DET:ART;le
matière;NOM;matière
était;VER:impf;être
connue;VER:pper;connaître
,;PUN;,
avec;PRP;avec
les;DET:ART;le
cartilages;NOM;cartilage
des;PRP:det;du
têtes;NOM;tête
de;PRP;de
ces;PRO:DEM;ce
énormes;ADJ;énorme
merlans;NOM;merlan
que;PRO:REL;que
l';DET:ART;le
on;PRO:PER;on
nous;PRO:PER;nous
sert;VER:pres;servir
quelquefois;ADV;quelquefois
pendant;PRP;pendant
les;DET:ART;le
jours;NOM;jour
maigres;ADJ;maigre
.;SENT;.
Aussi;ADV;aussi
vois;VER:pres;voir
-je;PRO:PER;je
toujours;ADV;toujours
arriver;VER:infi;arriver
les;DET:ART;le
mercredis;NOM;mercredi
,;PUN;,
les;DET:ART;le
vendredis;NOM;vendredi
et;KON;et
les;DET:ART;le
samedis;NOM;samedi
avec;PRP;avec
grand;ADJ;grand
plaisir;NOM;plaisir
,;PUN;,
car;KON;car
ils;PRO:PER;il
me;PRO:PER;me
donnent;VER:pres;donner
l';DET:ART;le
espérance;NOM;espérance
d';PRP;de
augmenter;VER:infi;augmenter
ma;DET:POS;mon
provision;NOM;provision
de;PRP;de
plumes;NOM;plume
,;PUN;,
et;KON;et
mes;DET:POS;mon
travaux;NOM;travail
historiques;ADJ;historique
sont;VER:pres;être
,;PUN;,
je;PRO:PER;je
l';PRO:PER;la|le
avoue;VER:pres;avouer
,;PUN;,
ma;DET:POS;mon
plus;ADV;plus
douce;ADJ;doux
occupation;NOM;occupation
.;SENT;.
En;PRP;en
descendant;NOM;descendant
dans;PRP;dans
le;DET:ART;le
passé;NOM;passé
,;PUN;,
j';PRO:PER;je
oublie;VER:pres;oublier
le;DET:ART;le
présent;ADJ;présent
";";PUN;";"
en;PRO:PER;en
marchant;VER:ppre;marcher
libre;ADJ;libre
et;KON;et
indépendant;ADJ;indépendant
dans;PRP;dans
l';DET:ART;le
histoire;NOM;histoire
,;PUN;,
je;PRO:PER;je
ne;ADV;ne
me;PRO:PER;me
souviens;VER:pres;souvenir
plus;ADV;plus
que;KON;que
je;PRO:PER;je
suis;VER:pres;suivre|être
prisonnier;NOM;prisonnier
.;SENT;.
--Mais;ADJ;--Mais
de;PRP;de
l';DET:ART;le
encre;NOM;encre
?;SENT;?
dit;VER:pres;dire
Dantès;NAM;Dantès
,;PUN;,
avec;PRP;avec
quoi;PRO;quoi
vous;PRO:PER;vous
êtes;VER:pres;être
-vous;PRO:PER;vous
fait;VER:pper;faire
de;PRP;de
l';DET:ART;le
encre;NOM;encre
?;SENT;?
--Il;ADJ;--Il
y;PRO:PER;y
avait;VER:impf;avoir
autrefois;ADV;autrefois
une;DET:ART;un
cheminée;NOM;cheminée
dans;PRP;dans
mon;DET:POS;mon
cachot;NOM;cachot
,;PUN;,
dit;VER:pres;dire
Faria;NAM;Faria
";";PUN;";"
cette;PRO:DEM;ce
cheminée;NOM;cheminée
a;VER:pres;avoir
été;VER:pper;être
bouchée;VER:pper;boucher
quelque;PRO:IND;quelque
temps;NOM;temps
avant;PRP;avant
mon;DET:POS;mon
arrivée;NOM;arrivé|arrivée
,;PUN;,
sans;PRP;sans
doute;NOM;doute
,;PUN;,
mais;KON;mais
pendant;PRP;pendant
de;PRP;de
longues;ADJ;longue
années;NOM;année
on;PRO:PER;on
y;PRO:PER;y
avait;VER:impf;avoir
fait;VER:pper;faire
du;PRP:det;du
feu;NOM;feu
:;PUN;:
tout;PRO:IND;tout
l';DET:ART;le
intérieur;NOM;intérieur
en;PRO:PER;en
est;VER:pres;être
donc;ADV;donc
tapissé;VER:pper;tapisser
de;PRP;de
suie;NOM;suie
.;SENT;.
Je;PRO:PER;je
fais;VER:pres;faire
dissoudre;VER:infi;dissoudre
cette;PRO:DEM;ce
suie;NOM;suie
dans;PRP;dans
une;DET:ART;un
portion;NOM;portion
du;PRP:det;du
vin;NOM;vin
qu';PRO:REL;que
on;PRO:PER;on
me;PRO:PER;me
donne;VER:pres;donner
tous;PRO:IND;tout
les;DET:ART;le
dimanches;NOM;dimanche
,;PUN;,
cela;PRO:DEM;cela
me;PRO:PER;me
fournit;VER:pres;fournir
de;PRP;de
l';DET:ART;le
encre;NOM;encre
excellente;ADJ;excellent
.;SENT;.
Pour;PRP;pour
les;DET:ART;le
notes;NOM;note
particulières;ADJ;particulier
,;PUN;,
et;KON;et
qui;PRO:REL;qui
ont;VER:pres;avoir
besoin;NOM;besoin
d';PRP;de
attirer;VER:infi;attirer
les;DET:ART;le
yeux;NOM;il
,;PUN;,
je;PRO:PER;je
me;PRO:PER;me
pique;VER:pres;piquer
les;DET:ART;le
doigts;NOM;doigt
et;KON;et
j';PRO:PER;je
écris;VER:pres;écrire
avec;PRP;avec
mon;DET:POS;mon
sang;NOM;sang
.;SENT;.
--Et;ADJ;--Et
quand;ADV;quand
pourrai;VER:futu;pouvoir
-je;PRO:PER;je
voir;VER:infi;voir
tout;ADV;tout
cela;PRO:DEM;cela
?;SENT;?
demanda;VER:simp;demander
Dantès;NAM;Dantès
.;SENT;.
--Quand;ADJ;--Quand
vous;PRO:PER;vous
voudrez;VER:futu;vouloir
,;PUN;,
répondit;VER:simp;répondre
Faria;NAM;Faria
.;SENT;.
--Oh;ADJ;--Oh
!;SENT;!
tout;ADV;tout
de;PRP;de
suite;NOM;suite
!;SENT;!
s';PRO:PER;se
écria;VER:simp;écrier
le;DET:ART;le
jeune;ADJ;jeune
homme;NOM;homme
.;SENT;.
--Suivez;VER:pres;--Suivez
-moi;PRO:PER;moi
donc;ADV;donc
»;PUN:cit;»
,;PUN;,
dit;VER:pres;dire
l';DET:ART;le
abbé;NOM;abbé
.;SENT;.
Et;KON;et
il;PRO:PER;il
rentra;VER:simp;rentrer
dans;PRP;dans
le;DET:ART;le
corridor;NOM;corridor
souterrain;ADJ;souterrain
où;PRO:REL;où
il;PRO:PER;il
disparut;VER:simp;disparaître
.;SENT;.
Dantès;NAM;Dantès
le;PRO:PER;le
suivit;VER:simp;suivre
.;SENT;.
